Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
anydesk.exe		Public	Yes	Allow	No	C:\users\home\downloads\anydesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AppMarket		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\AppMarket.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AppMarket		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\AppMarket.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
bugreport		All	Yes	Allow	No	d:\program files\txgameassistant\ui\bugreport.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
bugreport		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\bugreport.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
bugreport		All	Yes	Allow	No	d:\program files\txgameassistant\ui\bugreport.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
bugreport		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\bugreport.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
GameDownload		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\GameDownload.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
GameDownload		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\GameDownload.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Iriun webcam		All	Yes	Allow	No	C:\Program Files (x86)\Iriun Webcam\IriunWebcam.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Iriun webcam		All	Yes	Allow	No	C:\Program Files (x86)\Iriun Webcam\webcam.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
MediaGet		All	Yes	Allow	No	C:\Users\HOME\MediaGet2\mediaget.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
MediaGet		All	Yes	Allow	No	C:\Users\HOME\MediaGet2\QtWebEngineProcess.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
MediaGet		All	Yes	Allow	No	C:\Users\HOME\MediaGet2\QtWebEngineProcess.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
MediaGet		All	Yes	Allow	No	C:\Users\HOME\MediaGet2\mediaget.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
new1		All	No	Allow	No	Any	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	
Nox.exe		All	Yes	Allow	No	D:\Program Files\Nox\bin\Nox.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
NoxVMHandle.exe		All	Yes	Allow	No	C:\Program Files (x86)\Bignox\BigNoxVM\RT\NoxVMHandle.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private	Yes	Block	No	C:\users\home\appdata\local\programs\opera\opera.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private	Yes	Block	No	C:\users\home\appdata\local\programs\opera\opera.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private	Yes	Block	No	C:\users\home\appdata\local\programs\opera\77.0.4054.203\opera.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private	Yes	Block	No	C:\users\home\appdata\local\programs\opera\77.0.4054.203\opera.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
P2P In		All	Yes	Allow	No	C:\Program Files\GTA V\7launcher\tools\aria2\aria2c.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
QQExternal		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\QQExternal.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
QQExternal		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\QQExternal.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Realtek AP UDP Prot		All	Yes	Allow	No	Any	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
Realtek WPS TCP Prot		All	Yes	Allow	No	Any	Any	Any	UDP	1542	Any	Any	Any	Any	Any	None	Any	
Realtek WPS UDP Prot		All	Yes	Allow	No	Any	Any	Any	UDP	1542	Any	Any	Any	Any	Any	None	Any	
RTLDHCP		All	Yes	Secure (No encapsulation)	No	C:\PROGRA~2\REALTEK\USBWIR~1\Rtldhcp.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
RTLDHCP		Public	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
RTLDHCP		Public	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
RTLDHCP Port		Public	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
RTLDHCP-Port		All	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	UDP	67	Any	Any	Any	Any	Any	None	Any	
RTLDHCP-Port-2		All	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	UDP	68	Any	Any	Any	Any	Any	None	Any	
RTLDNS-Port		All	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
RTLDNS-Port-2		All	Yes	Allow	No	C:\Program Files (x86)\Realtek\USB Wireless LAN Utility\RTLDHCP.exe	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
RtWlan		All	Yes	Secure (No encapsulation)	No	C:\PROGRA~2\REALTEK\USBWIR~1\RtWlan.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TInst		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\TInst.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TInst		All	Yes	Allow	No	d:\program files\txgameassistant\ui\TInst.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TInst		All	Yes	Allow	No	d:\program files\txgameassistant\ui\TInst.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TInst		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\TInst.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TUpdate		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\GF186\TUpdate.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TUpdate		All	Yes	Allow	No	d:\program files\txgameassistant\appmarket\GF186\TUpdate.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TxGaDcc		All	Yes	Allow	No	d:\program files\txgameassistant\ui\TxGaDcc.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
TxGaDcc		All	Yes	Allow	No	d:\program files\txgameassistant\ui\TxGaDcc.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Domain	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Public	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Public	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Domain	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Private	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
???????????		Private	Yes	Allow	No	D:\Program Files\txgameassistant\appmarket\DL\syzs_dl_svr.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
@{Microsoft.AAD.BrokerPlugin_1000.19041.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19041.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.MicrosoftEdge_44.19041.1.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName}	@{Microsoft.MicrosoftEdge_44.19041.1.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	microsoft.microsoftedge_8wekyb3d8bbwe	
@{Microsoft.Win32WebViewHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.Search_1.14.0.19041_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Search/resources/PackageDisplayName}	@{Microsoft.Windows.Search_1.14.0.19041_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Search/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	Microsoft.Windows.Search_cw5n1h2txyewy	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\Administrator	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@FirewallAPI.dll,-80201	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	554, 8554-8558	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-80206	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	5000-5020	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
App Installer	App Installer	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\HOME	None	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
Avast UI (TCP-In)	Avast UI	All	Yes	Allow	No	C:\Program Files\Avast Software\Avast\AvastUI.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Avast UI (UDP-In)	Avast UI	All	Yes	Allow	No	C:\Program Files\Avast Software\Avast\AvastUI.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
BranchCache Content Retrieval (HTTP-In)	BranchCache - Content Retrieval (Uses HTTP)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80	Any	Any	Any	Any	Any	None	Any	
BranchCache Hosted Cache Server (HTTP-In)	BranchCache - Hosted Cache Server (Uses HTTPS)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80, 443	Any	Any	Any	Any	Any	None	Any	
BranchCache Peer Discovery (WSD-In)	BranchCache - Peer Discovery (Uses WSD)	All	No	Allow	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	System	Any	Local subnet	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device UPnP Events (TCP-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Connect	Connect	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\HOME	None	Microsoft.PPIProjection_cw5n1h2txyewy	
Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)	Connected Devices Platform	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (TCP-In)	Connected Devices Platform	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (UDP-In)	Connected Devices Platform	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol (DHCP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	68	67	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	546	547	Any	Any	Any	Any	None	Any	
Core Networking - Internet Group Management Protocol (IGMP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IGMP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPHTTPS (TCP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	TCP	IPHTTPS	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPv6 (IPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Done (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Query (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report v2 (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Packet Too Big (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Parameter Problem (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	fe80::/64	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	fe80::/64	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Teredo (UDP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Edge Traversal	Any	Any	Any	Any	Any	None	Any	
Core Networking - Time Exceeded (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Domain	No	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)	Core Networking Diagnostics	Domain	No	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)	Core Networking Diagnostics	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Delivery Optimization (TCP-In)	Delivery Optimization	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	7680	Any	Any	Any	Any	Any	None	Any	
Delivery Optimization (UDP-In)	Delivery Optimization	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	7680	Any	Any	Any	Any	Any	None	Any	
Desktop App Web Viewer	Desktop App Web Viewer	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\HOME	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
DIAL protocol server (HTTP-In)	DIAL protocol server	Private	Yes	Allow	No	System	Any	Local subnet	TCP	10247	Any	Any	Any	Any	Any	None	Any	
DIAL protocol server (HTTP-In)	DIAL protocol server	Domain	Yes	Allow	No	System	Any	Any	TCP	10247	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (RPC)	Distributed Transaction Coordinator	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (RPC)	Distributed Transaction Coordinator	Domain	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (RPC-EPMAP)	Distributed Transaction Coordinator	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (RPC-EPMAP)	Distributed Transaction Coordinator	Domain	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (TCP-In)	Distributed Transaction Coordinator	Domain	No	Allow	No	%SystemRoot%\system32\msdtc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (TCP-In)	Distributed Transaction Coordinator	Private, Public	No	Allow	No	%SystemRoot%\system32\msdtc.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Feedback Hub	Feedback Hub	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-8DFSQM7\HOME	None	Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe	
File and Printer Sharing (Echo Request - ICMPv4-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv6-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv6-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (LLMNR-UDP-In)	File and Printer Sharing	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	5355	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Datagram-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	UDP	138	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Datagram-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	UDP	138	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Name-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	UDP	137	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Name-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	UDP	137	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Session-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	TCP	139	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (NB-Session-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	TCP	139	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (SMB-In)	File and Printer Sharing	Domain	No	Allow	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (SMB-In)	File and Printer Sharing	Private, Public	No	Allow	No	System	Any	Local subnet	TCP	445	Any	Any	Any	Any	Any	None	Any	
